timestamp,demand,nuclear,lng,coal,oil,hydro,geothermal,biomass,solar,wind,solar_curtailment,wind_curtailment,pumped_hydro_charge,pumped_hydro_gen,battery_charge,battery_discharge,other_thermal,other_misc,interconnector_receive,interconnector_send,system_price_jpy_kwh
2025-04-01 00:00:00,87830,10359,37091,25019,618,7806,336,3398,0,637,0,0,-1858,454,-30,1,3568,462,5433,-5462,13.5
2025-04-01 00:30:00,85428,10351,35846,24968,619,7807,332,3399,0,622,0,0,-3105,481,-46,1,3637,511,5739,-5734,13.22
2025-04-01 01:00:00,84708,10356,35824,25019,614,7750,338,3404,0,634,0,0,-3753,465,-37,4,3563,568,5673,-5712,12.89
2025-04-01 01:30:00,85133,10349,36141,25032,611,7843,336,3393,0,690,0,0,-3856,456,-44,2,3592,576,5881,-5868,12.48
2025-04-01 02:00:00,85893,10353,36751,25227,616,7866,335,3401,0,723,0,0,-3972,436,-19,4,3608,584,6367,-6386,12.5
2025-04-01 02:30:00,87225,10350,37576,25377,615,7932,334,3392,0,761,0,0,-3789,436,-6,19,3654,580,6540,-6544,12.5
2025-04-01 03:00:00,88697,10354,38156,25579,619,8148,334,3414,0,795,0,0,-3755,793,-4,16,3666,587,6307,-6312,12.65
2025-04-01 03:30:00,89192,10349,38722,25690,621,8190,331,3392,0,857,0,0,-3996,776,-8,28,3676,580,6329,-6348,12.89
2025-04-01 04:00:00,89997,10351,39266,25604,627,8379,337,3398,0,916,0,0,-3927,788,-7,30,3638,610,6689,-6700,12.89
2025-04-01 04:30:00,90822,10349,38967,25576,630,8603,331,3381,1,990,0,0,-3106,900,-10,0,3639,579,6596,-6604,12.92
2025-04-01 05:00:00,92534,10350,39408,25675,636,8769,339,3388,5,1051,0,0,-2048,732,-6,2,3561,599,6265,-6192,13.22
2025-04-01 05:30:00,94349,10356,39971,25567,635,8783,330,3379,247,1117,0,0,-924,774,-7,2,3586,638,5218,-5326,13.47
2025-04-01 06:00:00,97298,10346,41018,25243,641,9094,335,3405,1012,1118,0,0,-492,1325,-5,48,3591,666,4869,-4917,14.18
2025-04-01 06:30:00,100083,10357,41920,25381,640,9043,339,3393,2801,1116,0,0,-490,1353,-35,24,3580,646,5110,-5094,15.0
2025-04-01 07:00:00,102545,10358,42549,25236,646,8905,339,3419,5273,1129,0,0,-127,632,-45,3,3524,716,5367,-5378,14.74
2025-04-01 07:30:00,106292,10353,43894,24782,643,8898,338,3396,8068,1153,0,0,-37,583,-49,1,3582,691,5835,-5840,14.47
2025-04-01 08:00:00,111738,10352,45976,24636,637,9195,341,3403,10736,1186,0,0,0,991,-43,6,3649,695,7215,-7238,15.0
2025-04-01 08:30:00,116715,10356,47524,24504,639,9061,340,3404,13196,1207,0,0,0,2159,-50,3,3657,691,7807,-7784,16.0
2025-04-01 09:00:00,119456,10355,48346,23657,636,8532,344,3385,15841,1242,0,0,0,2901,-20,17,3528,684,7486,-7477,15.73
2025-04-01 09:30:00,119531,10355,47603,22946,626,8374,339,3350,18157,1327,0,0,-74,2460,-6,26,3361,697,7429,-7440,15.73
2025-04-01 10:00:00,118222,10353,46665,22462,629,7765,342,3346,20175,1414,0,0,-1027,2021,-10,31,3352,696,7924,-7914,15.73
2025-04-01 10:30:00,118083,10361,46474,22315,615,7650,339,3365,21536,1366,0,0,-1657,1635,-7,54,3335,711,7793,-7802,14.43
2025-04-01 11:00:00,117642,10360,46379,22045,595,7374,342,3386,21841,1358,0,0,-1751,1653,-8,48,3334,683,8037,-8034,13.94
2025-04-01 11:30:00,116671,10352,46441,21882,574,7204,343,3372,21863,1374,0,0,-2176,1396,-21,53,3329,692,8130,-8141,13.48
2025-04-01 12:00:00,112688,10354,44754,21442,550,6915,342,3384,21578,1421,0,0,-2722,733,-48,3,3376,617,8451,-8461,8.13
2025-04-01 12:30:00,111358,10352,45154,21512,542,6839,341,3367,20554,1415,0,0,-3240,528,-37,16,3396,614,8059,-8054,8.01
2025-04-01 13:00:00,114387,10358,46955,22153,543,6990,341,3323,19213,1432,0,0,-1952,967,-3,12,3442,618,8274,-8281,12.2
2025-04-01 13:30:00,114729,10357,47456,22544,576,6956,341,3305,17888,1501,0,0,-1546,1287,-20,9,3458,610,7951,-7946,13.47
2025-04-01 14:00:00,114577,10346,48200,22806,646,7002,342,3309,16141,1594,0,0,-1206,1319,-5,19,3421,634,7961,-7953,13.56
2025-04-01 14:30:00,113524,10354,48663,23172,646,7175,341,3302,13770,1616,0,0,-842,1250,-6,30,3431,638,7669,-7684,13.91
2025-04-01 15:00:00,112699,10355,48736,23477,651,7526,343,3339,11524,1647,0,0,-508,1442,-25,17,3456,668,8005,-7953,13.95
2025-04-01 15:30:00,113378,10356,50006,24157,651,7913,337,3334,8940,1592,0,0,-460,2468,-40,25,3490,664,7458,-7514,15.12
2025-04-01 16:00:00,114028,10354,50533,24823,674,8687,343,3341,6610,1654,0,0,0,2703,-54,6,3570,747,6973,-6936,15.73
2025-04-01 16:30:00,114000,10354,51007,25032,704,9147,338,3310,4323,1663,0,0,0,3837,-41,10,3640,723,6081,-6127,16.47
