timestamp,solar_cf,wind_cf,solar_actual_mw,wind_actual_mw,solar_available_mw,wind_available_mw
2025-04-01 00:00:00,0.0,0.1274,0,637,0,637
2025-04-01 00:30:00,0.0,0.1244,0,622,0,622
2025-04-01 01:00:00,0.0,0.1268,0,634,0,634
2025-04-01 01:30:00,0.0,0.138,0,690,0,690
2025-04-01 02:00:00,0.0,0.1446,0,723,0,723
2025-04-01 02:30:00,0.0,0.1522,0,761,0,761
2025-04-01 03:00:00,0.0,0.159,0,795,0,795
2025-04-01 03:30:00,0.0,0.1714,0,857,0,857
2025-04-01 04:00:00,0.0,0.1832,0,916,0,916
2025-04-01 04:30:00,1.25e-05,0.198,1,990,1,990
2025-04-01 05:00:00,6.25e-05,0.2102,5,1051,5,1051
2025-04-01 05:30:00,0.0030875,0.2234,247,1117,247,1117
2025-04-01 06:00:00,0.01265,0.2236,1012,1118,1012,1118
2025-04-01 06:30:00,0.0350125,0.2232,2801,1116,2801,1116
2025-04-01 07:00:00,0.0659125,0.2258,5273,1129,5273,1129
2025-04-01 07:30:00,0.10085,0.2306,8068,1153,8068,1153
2025-04-01 08:00:00,0.1342,0.2372,10736,1186,10736,1186
2025-04-01 08:30:00,0.16495,0.2414,13196,1207,13196,1207
2025-04-01 09:00:00,0.1980125,0.2484,15841,1242,15841,1242
2025-04-01 09:30:00,0.2269625,0.2654,18157,1327,18157,1327
2025-04-01 10:00:00,0.2521875,0.2828,20175,1414,20175,1414
2025-04-01 10:30:00,0.2692,0.2732,21536,1366,21536,1366
2025-04-01 11:00:00,0.2730125,0.2716,21841,1358,21841,1358
2025-04-01 11:30:00,0.2732875,0.2748,21863,1374,21863,1374
2025-04-01 12:00:00,0.269725,0.2842,21578,1421,21578,1421
2025-04-01 12:30:00,0.256925,0.283,20554,1415,20554,1415
2025-04-01 13:00:00,0.2401625,0.2864,19213,1432,19213,1432
2025-04-01 13:30:00,0.2236,0.3002,17888,1501,17888,1501
2025-04-01 14:00:00,0.2017625,0.3188,16141,1594,16141,1594
2025-04-01 14:30:00,0.172125,0.3232,13770,1616,13770,1616
2025-04-01 15:00:00,0.14405,0.3294,11524,1647,11524,1647
2025-04-01 15:30:00,0.11175,0.3184,8940,1592,8940,1592
2025-04-01 16:00:00,0.082625,0.3308,6610,1654,6610,1654
2025-04-01 16:30:00,0.0540375,0.3326,4323,1663,4323,1663
2025-04-01 17:00:00,0.028625,0.333,2290,1665,2290,1665
2025-04-01 17:30:00,0.011525,0.349,922,1745,922,1745
2025-04-01 18:00:00,0.0015625,0.3678,125,1839,125,1839
2025-04-01 18:30:00,1.25e-05,0.3806,1,1903,1,1903
2025-04-01 19:00:00,0.0,0.3922,0,1961,0,1961
2025-04-01 19:30:00,1.25e-05,0.4068,1,2034,1,2034
2025-04-01 20:00:00,0.0,0.3972,0,1986,0,1986
2025-04-01 20:30:00,1.25e-05,0.3892,1,1946,1,1946
2025-04-01 21:00:00,0.0,0.3868,0,1934,0,1934
2025-04-01 21:30:00,0.0,0.3916,0,1958,0,1958
2025-04-01 22:00:00,0.0,0.3952,0,1976,0,1976
2025-04-01 22:30:00,0.0,0.406,0,2030,0,2030
