month,mean_error,std_error,count
1,1.6954732180944796,2.7736247006566925,1488
2,2.115358567934684,2.198008967453451,1344
3,2.1110565931731453,1.7892849765332992,336
4,-0.20449261162349863,2.954074444914772,1440
5,-0.12447508169189278,2.82933441441793,1488
6,0.3850474034705653,3.150091436833931,1440
7,0.7738973752760557,3.880000472117458,1488
8,1.0802198567411883,3.210064990872291,1488
9,0.4903389061014298,3.4106501286966657,1440
10,-1.488357000819917,1.962538048543437,1488
11,0.5545326658512651,2.1984739756263543,1440
12,2.1016117152271856,1.9210849267618204,1488
